"REF_DATE","GEO","DGUID","Sex","Infant or perinatal mortality","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Both sexes","Infant mortality","Number","Number","223","units ","0","v116625021","1.1.1.1","1715","","","","0"
"2000","Canada","2016A000011124","Both sexes","Infant mortality","Rate","Rate","257","units ","0","v116625022","1.1.1.2","5.2","","","","1"
"2000","Canada","2016A000011124","Both sexes","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625023","1.1.1.3","5.0","","","","1"
"2000","Canada","2016A000011124","Both sexes","Infant mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625024","1.1.1.4","5.5","","","","1"
"2000","Canada","2016A000011124","Both sexes","Perinatal mortality","Number","Number","223","units ","0","v116625025","1.1.2.1","2050","","","","0"
"2000","Canada","2016A000011124","Both sexes","Perinatal mortality","Rate","Rate","257","units ","0","v116625026","1.1.2.2","6.2","","","","1"
"2000","Canada","2016A000011124","Both sexes","Perinatal mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625027","1.1.2.3","6.0","","","","1"
"2000","Canada","2016A000011124","Both sexes","Perinatal mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625028","1.1.2.4","6.5","","","","1"
"2000","Canada","2016A000011124","Males","Infant mortality","Number","Number","223","units ","0","v116625029","1.2.1.1","965","","","","0"
"2000","Canada","2016A000011124","Males","Infant mortality","Rate","Rate","257","units ","0","v116625030","1.2.1.2","5.7","","","","1"
"2000","Canada","2016A000011124","Males","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625031","1.2.1.3","5.4","","","","1"
"2000","Canada","2016A000011124","Males","Infant mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625032","1.2.1.4","6.1","","","","1"
"2000","Canada","2016A000011124","Males","Perinatal mortality","Number","Number","223","units ","0","v116625033","1.2.2.1","1130","","","","0"
"2000","Canada","2016A000011124","Males","Perinatal mortality","Rate","Rate","257","units ","0","v116625034","1.2.2.2","6.7","","","","1"
"2000","Canada","2016A000011124","Males","Perinatal mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625035","1.2.2.3","6.3","","","","1"
"2000","Canada","2016A000011124","Males","Perinatal mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625036","1.2.2.4","7.1","","","","1"
"2000","Canada","2016A000011124","Females","Infant mortality","Number","Number","223","units ","0","v116625037","1.3.1.1","750","","","","0"
"2000","Canada","2016A000011124","Females","Infant mortality","Rate","Rate","257","units ","0","v116625038","1.3.1.2","4.7","","","","1"
"2000","Canada","2016A000011124","Females","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625039","1.3.1.3","4.3","","","","1"
"2000","Canada","2016A000011124","Females","Infant mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625040","1.3.1.4","5.0","","","","1"
"2000","Canada","2016A000011124","Females","Perinatal mortality","Number","Number","223","units ","0","v116625041","1.3.2.1","920","","","","0"
"2000","Canada","2016A000011124","Females","Perinatal mortality","Rate","Rate","257","units ","0","v116625042","1.3.2.2","5.7","","","","1"
"2000","Canada","2016A000011124","Females","Perinatal mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625043","1.3.2.3","5.4","","","","1"
"2000","Canada","2016A000011124","Females","Perinatal mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625044","1.3.2.4","6.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Infant mortality","Number","Number","223","units ","0","v116625045","2.1.1.1","25","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Infant mortality","Rate","Rate","257","units ","0","v116625046","2.1.1.2","5.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625047","2.1.1.3","3.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Infant mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625048","2.1.1.4","7.9","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Perinatal mortality","Number","Number","223","units ","0","v116625049","2.1.2.1","25","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Perinatal mortality","Rate","Rate","257","units ","0","v116625050","2.1.2.2","5.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Perinatal mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625051","2.1.2.3","3.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Both sexes","Perinatal mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625052","2.1.2.4","7.9","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Infant mortality","Number","Number","223","units ","0","v116625053","2.2.1.1","15","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Males","Infant mortality","Rate","Rate","257","units ","0","v116625054","2.2.1.2","6.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625055","2.2.1.3","3.6","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Infant mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625056","2.2.1.4","10.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Perinatal mortality","Number","Number","223","units ","0","v116625057","2.2.2.1","15","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Males","Perinatal mortality","Rate","Rate","257","units ","0","v116625058","2.2.2.2","6.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Perinatal mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625059","2.2.2.3","3.6","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Males","Perinatal mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625060","2.2.2.4","10.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Infant mortality","Number","Number","223","units ","0","v116625061","2.3.1.1","10","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Females","Infant mortality","Rate","Rate","257","units ","0","v116625062","2.3.1.2","4.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625063","2.3.1.3","2.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Infant mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625064","2.3.1.4","8.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Perinatal mortality","Number","Number","223","units ","0","v116625065","2.3.2.1","10","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Females","Perinatal mortality","Rate","Rate","257","units ","0","v116625066","2.3.2.2","4.3","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Perinatal mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625067","2.3.2.3","2.2","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Females","Perinatal mortality","High 95% confidence interval, rate","Rate","257","units ","0","v116625068","2.3.2.4","8.2","","","","1"
"2000","Eastern Regional Health Authority, Newfoundland and Labrador","2015A00071011","Both sexes","Infant mortality","Number","Number","223","units ","0","v116625069","3.1.1.1","15","","","","0"
"2000","Eastern Regional Health Authority, Newfoundland and Labrador","2015A00071011","Both sexes","Infant mortality","Rate","Rate","257","units ","0","v116625070","3.1.1.2","5.4","","","","1"
"2000","Eastern Regional Health Authority, Newfoundland and Labrador","2015A00071011","Both sexes","Infant mortality","Low 95% confidence interval, rate","Rate","257","units ","0","v116625071","3.1.1.3","3.1","","","","1"
